,sal,popul,w_years,smoke,sex,age,kids,harm,ill,popul_sq,w_years_sq,popul_ln,educ_ВЫСШЕЕ,educ_ПТУ,educ_ШКОЛА,educ_без образования,marriage_не_состоит,marriage_сожительство,marriage_состоит,school_ИНЫЕ_ВИДЫ,school_ОБЫЧНАЯ_ШКОЛА,school_УГЛУБ,school_без образования,satisf_ДА,satisf_И_ДА_И_НЕТ,satisf_НЕТ,occup_ВЫСШАЯ_КВАЛИФИКАЦИЯ,occup_ГОС_СЛУЖАЩИЙ,occup_КВАЛ_РАБОЧИЕ,occup_НЕКВАЛ_РАБОЧИЕ,occup_ОФИСНЫЕ_РАБОЧИЕ,occup_ТОРГОВЛЯ,occup_без_квалификации
145,35300.0,89500.0,45.0,1.0,1,60.0,3.0,1.0,0.0,8010250000.0,2025.0,11.401993904262946,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
146,0.0,89500.0,35.0,0.0,0,66.0,2.0,0.0,0.0,8010250000.0,1225.0,11.401993904262946,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
147,50000.0,89500.0,52.0,0.0,1,69.0,2.0,1.0,0.0,8010250000.0,2704.0,11.401993904262946,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
148,0.0,89500.0,20.0,0.0,0,44.0,2.0,0.0,0.0,8010250000.0,400.0,11.401993904262946,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
149,50000.0,89500.0,17.0,0.0,0,38.0,1.0,1.0,0.0,8010250000.0,289.0,11.401993904262946,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
150,0.0,89500.0,40.0,0.0,0,67.0,2.0,0.0,0.0,8010250000.0,1600.0,11.401993904262946,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
151,0.0,89500.0,40.0,1.0,1,67.0,2.0,0.0,0.0,8010250000.0,1600.0,11.401993904262946,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
152,0.0,89500.0,18.0,0.0,0,52.0,1.0,0.0,0.0,8010250000.0,324.0,11.401993904262946,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
153,19000.0,89500.0,35.0,0.0,0,56.0,1.0,0.0,0.0,8010250000.0,1225.0,11.401993904262946,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
154,0.0,89500.0,49.0,0.0,0,71.0,1.0,0.0,0.0,8010250000.0,2401.0,11.401993904262946,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
